id,supplier,item,description,cost,status,date
REQ13248,Cisco Systems,Tanium + z$caler ia,"Technical integration will be performed in Q2, with expected go-live by 2025-05-30. Historical systems such as WizShield will be phased out in favour of newer solutions. As part of our strategic initiative for FY2025, Cisco Systems has been engaged to address recent audit findings. Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls. This order is intended to strengthen defences in the EMEA region and includes provisions for both T a n i u m   E n d p o i n t and CS F@lc0n.",93783.53,CANCELLED,2025-04-23
REQ25118,Wiz Inc,Z$c@ler IA + MS_365_E5 + O365_E5,"As part of our strategic initiative for FY2024, Wiz Inc has been engaged to address recent audit findings. This order is intended to strengthen defences in the EMEA region and includes provisions for both Zscaler_IA and CS F@lc0n. Historical systems such as Legacy Firewall will be phased out in favour of newer solutions. Technical integration will be performed in Q1, with expected go-live by 2025-08-21. Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls.",439134.01,CANCELLED,2024-01-01
REQ91678,Zscaler Inc,Wiz Defend ™ + C i s c o   F P 2 K,"As part of our strategic initiative for FY2024, Tanium Inc has been engaged to address recent audit findings. Historical systems such as Palo Alto Networks FW-5000 will be phased out in favour of newer solutions. Technical integration will be performed in Q3, with expected go-live by 2025-06-12. This order is intended to strengthen defences in the EMEA region and includes provisions for both cloud defense module and TANIUM ENDPOINT. Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls.",160388.24,DRAFT,2024-09-07
REQ77000,Tanium Inc,Wiz_Defend + W1zCld + TANIUM ENDPOINT,"As part of our strategic initiative for FY2025, Tanium Inc has been engaged to address recent audit findings. Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls. This order is intended to strengthen defences in the APAC region and includes provisions for both WizDefnd ™ and CROWDSTRIK FLACON. Technical integration will be performed in Q3, with expected go-live by 2023-09-18. Historical systems such as Palo Alto Networks FW-5000 will be phased out in favour of newer solutions.",239227.16,PENDING,2023-06-23
REQ25906,Wiz Inc,Cisco FP-2100 ™ + z$caler ia + tanium endpoint + crowdstrike falcon,"As part of our strategic initiative for FY2023, Zscaler Inc has been engaged to address recent audit findings. Technical integration will be performed in Q2, with expected go-live by 2023-10-29. Historical systems such as WizShield will be phased out in favour of newer solutions. Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls. This order is intended to strengthen defences in the EMEA region and includes provisions for both CISCO FP2K and microsoft e5.",230948.6,ORDERED,2025-12-23
REQ30028,Zscaler Inc,W1z Defnd + tanium endpoint + Wiz Cloud ™ + Firepower_2K_series,"This order is intended to strengthen defences in the Americas region and includes provisions for both módulo de defensa en la nube and Zsc@ler IA. Historical systems such as Palo Alto Networks FW-5000 will be phased out in favour of newer solutions. Technical integration will be performed in Q4, with expected go-live by 2023-11-22. As part of our strategic initiative for FY2025, Zscaler Inc has been engaged to address recent audit findings. Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls.",354677.48,DRAFT,2025-04-29
REQ73654,Zscaler Inc,WizCld + wizdefnd + M i c r o s o f t 3 6 5 E5 ™,"Historical systems such as Palo Alto Networks FW-5000 will be phased out in favour of newer solutions. As part of our strategic initiative for FY2023, Zscaler Inc has been engaged to address recent audit findings. Technical integration will be performed in Q2, with expected go-live by 2025-05-10. This order is intended to strengthen defences in the APAC region and includes provisions for both 云安全平台 and W i z   D e f n d. Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls.",19367.29,CANCELLED,2025-04-08
REQ95426,Cisco Systems,Tanium_Endpoint + firepower 2k series + cs falcon + M S   3 6 5   E 5,"Historical systems such as Legacy Firewall will be phased out in favour of newer solutions. Technical integration will be performed in Q1, with expected go-live by 2023-06-21. This order is intended to strengthen defences in the EMEA region and includes provisions for both T@n1um Endp01nt and Zscaler_Internet_Access. As part of our strategic initiative for FY2024, Cisco Systems has been engaged to address recent audit findings. Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls.",24927.78,DRAFT,2024-05-21
REQ23356,Wiz Inc,C S   F a l c o n + Cisco_Firepower_2000_Series,"This order is intended to strengthen defences in the EMEA region and includes provisions for both protección de puntos finales and WIZ DEFEND. As part of our strategic initiative for FY2024, Microsoft Corp has been engaged to address recent audit findings. Historical systems such as Old Endpoint Protection will be phased out in favour of newer solutions. Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls. Technical integration will be performed in Q1, with expected go-live by 2024-03-22.",350110.54,CANCELLED,2023-09-05
REQ87656,Microsoft Corp,Zscaler IA ™ + WizCld ™ + CS FALCON,"As part of our strategic initiative for FY2025, Microsoft Corp has been engaged to address recent audit findings. Historical systems such as Palo Alto Networks FW-5000 will be phased out in favour of newer solutions. This order is intended to strengthen defences in the Americas region and includes provisions for both cloud firewall subscription and wizdefnd. Technical integration will be performed in Q3, with expected go-live by 2023-05-22. Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls.",137855.79,PENDING,2023-06-27
REQ74332,WWT,CISCO FIREPOWER 2000 SERIES + T a n i u m + Wiz Cloud ™,"As part of our strategic initiative for FY2024, WWT has been engaged to address recent audit findings. Technical integration will be performed in Q1, with expected go-live by 2025-10-09. Historical systems such as Palo Alto Networks FW-5000 will be phased out in favour of newer solutions. This order is intended to strengthen defences in the APAC region and includes provisions for both Cisco_FP-2100 and WizCld. Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls.",226846.4,DRAFT,2023-07-10
REQ87278,Wiz Inc,Firepower_2K_series + W1zCld + Wiz Defend ™ + M i c r o s o f t 3 6 5 E5 ™,"Historical systems such as Old Endpoint Protection will be phased out in favour of newer solutions. Technical integration will be performed in Q3, with expected go-live by 2025-08-27. As part of our strategic initiative for FY2024, Wiz Inc has been engaged to address recent audit findings. Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls. This order is intended to strengthen defences in the Americas region and includes provisions for both 防火墙设备 and TANIUMMGMT.",488420.48,CANCELLED,2023-07-25
REQ72616,Wiz Inc,z$caler ia + T a n i u m + cs falcon,"Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls. Technical integration will be performed in Q3, with expected go-live by 2023-01-29. As part of our strategic initiative for FY2023, Wiz Inc has been engaged to address recent audit findings. This order is intended to strengthen defences in the EMEA region and includes provisions for both suscripción de cortafuegos en la nube and T a n i u m. Historical systems such as WizShield will be phased out in favour of newer solutions.",61473.13,DRAFT,2025-03-31
REQ23006,CrowdStrike Inc,wizcld + Tanium_Endpoint,"This order is intended to strengthen defences in the Americas region and includes provisions for both cloud posture management and m i c r o s o f t 3 6 5 e5. As part of our strategic initiative for FY2023, CrowdStrike Inc has been engaged to address recent audit findings. Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls. Historical systems such as Legacy Firewall will be phased out in favour of newer solutions. Technical integration will be performed in Q2, with expected go-live by 2024-09-14.",474057.15,PENDING,2024-03-08
REQ44816,CrowdStrike Inc,C i s c o   F P 2 K + Z$c@ler IA + WizCld ™,"Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls. Historical systems such as Old Endpoint Protection will be phased out in favour of newer solutions. As part of our strategic initiative for FY2025, CrowdStrike Inc has been engaged to address recent audit findings. Technical integration will be performed in Q1, with expected go-live by 2023-11-17. This order is intended to strengthen defences in the EMEA region and includes provisions for both Cisco_FP2K and M1cr0s0ft E5.",414182.42,DRAFT,2023-05-03
REQ67963,Tanium Inc,crowdstrike falcon + Wiz_Defnd + M_i_c_r_o_s_o_f_t_3_6_5_E5 + Cisco Firepower 2000 Series ™,"Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls. This order is intended to strengthen defences in the Americas region and includes provisions for both CrowdStrike_EDR and Z$CALER IA. Technical integration will be performed in Q1, with expected go-live by 2025-08-17. As part of our strategic initiative for FY2024, Tanium Inc has been engaged to address recent audit findings. Historical systems such as WizShield will be phased out in favour of newer solutions.",458456.03,PENDING,2025-06-11
REQ34586,WWT,T a n i u m M g m t + C i s c o   F P 2 K + WizCld,"Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls. This order is intended to strengthen defences in the APAC region and includes provisions for both Tanium and Zscaler IA ™. Historical systems such as WizShield will be phased out in favour of newer solutions. As part of our strategic initiative for FY2024, WWT has been engaged to address recent audit findings. Technical integration will be performed in Q3, with expected go-live by 2024-10-19.",261627.5,ORDERED,2025-06-24
REQ45838,Microsoft Corp,Z $ c a l e r   I A + C i s c o   F P 2 K + C r o w d S t r i k e   E D R,"As part of our strategic initiative for FY2024, Microsoft Corp has been engaged to address recent audit findings. Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls. Historical systems such as Old Endpoint Protection will be phased out in favour of newer solutions. Technical integration will be performed in Q4, with expected go-live by 2025-09-19. This order is intended to strengthen defences in the APAC region and includes provisions for both Z$CALER IA and Microsft 365 E5 ™.",210667.72,ORDERED,2025-08-25
REQ52176,WWT,CS FALCON + M i c r o s o f t 3 6 5 E5 ™ + W1zCld,"As part of our strategic initiative for FY2023, WWT has been engaged to address recent audit findings. Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls. This order is intended to strengthen defences in the EMEA region and includes provisions for both protección de puntos finales and WIZCLD. Historical systems such as Palo Alto Networks FW-5000 will be phased out in favour of newer solutions. Technical integration will be performed in Q2, with expected go-live by 2023-05-23.",435452.83,PENDING,2025-02-23
REQ95823,CC,C S   F a l c o n + C i s c o   F P 2 K,"This order is intended to strengthen defences in the APAC region and includes provisions for both 端点安全 and zscaler internet access. Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls. Historical systems such as Palo Alto Networks FW-5000 will be phased out in favour of newer solutions. As part of our strategic initiative for FY2025, CC has been engaged to address recent audit findings. Technical integration will be performed in Q4, with expected go-live by 2025-03-01.",485128.61,DRAFT,2025-08-19
REQ49251,Tanium Inc,Z $ c a l e r   I A + Wiz Defend ™ + O365 E5,"This order is intended to strengthen defences in the Americas region and includes provisions for both suscripción de cortafuegos en la nube and Tanium Endpoint ™. Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls. Historical systems such as Palo Alto Networks FW-5000 will be phased out in favour of newer solutions. As part of our strategic initiative for FY2025, Tanium Inc has been engaged to address recent audit findings. Technical integration will be performed in Q1, with expected go-live by 2024-11-03.",452194.91,DRAFT,2024-10-26
REQ70236,Microsoft Corp,ZSCALER IA + W1z Defnd,"Historical systems such as WizShield will be phased out in favour of newer solutions. Technical integration will be performed in Q2, with expected go-live by 2024-05-15. As part of our strategic initiative for FY2024, Microsoft Corp has been engaged to address recent audit findings. This order is intended to strengthen defences in the APAC region and includes provisions for both Z$c@ler IA and W1z Defend. Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls.",131386.72,DRAFT,2025-08-10
REQ75107,Cisco Systems,CISCO FP2K + CS FALCON + Wiz Cloud ™,"This order is intended to strengthen defences in the APAC region and includes provisions for both F1rep0wer 2K ser1es and zscaler ia. Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls. As part of our strategic initiative for FY2025, Cisco Systems has been engaged to address recent audit findings. Historical systems such as WizShield will be phased out in favour of newer solutions. Technical integration will be performed in Q3, with expected go-live by 2025-05-18.",417255.26,CANCELLED,2024-04-16
REQ45720,Zscaler Inc,WizDefnd ™ + M i c r o s f t   3 6 5   E 5 + Tanium_Endpoint,"Historical systems such as Old Endpoint Protection will be phased out in favour of newer solutions. Technical integration will be performed in Q3, with expected go-live by 2023-10-08. As part of our strategic initiative for FY2025, Zscaler Inc has been engaged to address recent audit findings. Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls. This order is intended to strengthen defences in the Americas region and includes provisions for both Wiz Defnd ™ and Zscaler_Internet_Access.",416083.95,CANCELLED,2025-09-13
REQ71797,Wiz Inc,Zscaler_Internet_Access + W i z   C l 0 u d,"As part of our strategic initiative for FY2023, Tanium Inc has been engaged to address recent audit findings. This order is intended to strengthen defences in the EMEA region and includes provisions for both suscripción de cortafuegos en la nube and TaniumMgmt. Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls. Technical integration will be performed in Q2, with expected go-live by 2024-04-07. Historical systems such as Palo Alto Networks FW-5000 will be phased out in favour of newer solutions.",17387.2,CANCELLED,2024-03-29
REQ95841,CrowdStrike Inc,T@n1umMgmt + crowdstrike edr,"This order is intended to strengthen defences in the Americas region and includes provisions for both Tanium and C r o w d S t r i k e   E D R. As part of our strategic initiative for FY2025, CrowdStrike Inc has been engaged to address recent audit findings. Historical systems such as WizShield will be phased out in favour of newer solutions. Technical integration will be performed in Q4, with expected go-live by 2023-08-27. Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls.",54015.71,ORDERED,2025-04-15
REQ86858,Wiz Inc,F1rep0wer 2K ser1es + microsoft e5 + Wiz Defend ™ + Z s c a l e r   I n t e r n e t   A c c e s s,"Technical integration will be performed in Q2, with expected go-live by 2025-01-12. Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls. As part of our strategic initiative for FY2024, Microsoft Corp has been engaged to address recent audit findings. This order is intended to strengthen defences in the EMEA region and includes provisions for both 防火墙设备 and M i c r o s o f t 3 6 5 E5 ™. Historical systems such as Palo Alto Networks FW-5000 will be phased out in favour of newer solutions.",111895.92,PENDING,2024-11-03
REQ24293,Cisco Systems,Z s c a l e r   I A + Wiz_Defend + W i z   D e f n d,"Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls. Historical systems such as WizShield will be phased out in favour of newer solutions. This order is intended to strengthen defences in the EMEA region and includes provisions for both Zsc@ler Internet Access and CrowdStrike_Falcon. Technical integration will be performed in Q2, with expected go-live by 2024-05-28. As part of our strategic initiative for FY2023, Cisco Systems has been engaged to address recent audit findings.",228742.68,PENDING,2023-03-30
REQ89354,Tanium Inc,TANIUM ENDPOINT + M i c r o s f t   3 6 5   E 5 + Z$CALER IA,"As part of our strategic initiative for FY2023, Tanium Inc has been engaged to address recent audit findings. Technical integration will be performed in Q4, with expected go-live by 2025-04-02. This order is intended to strengthen defences in the Americas region and includes provisions for both plataforma de gestión de puntos finales and wiz cl0ud. Historical systems such as Legacy Firewall will be phased out in favour of newer solutions. Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls.",217948.67,DRAFT,2024-03-16
REQ83608,WWT,W i z   C l o u d + C r o w d S t r i k e   F a l c o n + W i z D e f n d,"Technical integration will be performed in Q4, with expected go-live by 2025-05-01. As part of our strategic initiative for FY2024, WWT has been engaged to address recent audit findings. Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls. This order is intended to strengthen defences in the APAC region and includes provisions for both WizCld and Z$caler_IA. Historical systems such as WizShield will be phased out in favour of newer solutions.",283033.27,DRAFT,2025-04-21
REQ50499,CC,cisco fp-2100 + M I C R O S O F T 3 6 5 E5 + Wiz Cl0ud ™,"This order is intended to strengthen defences in the APAC region and includes provisions for both C1sc0 FP2K and CrowdStrike_Falcon. Technical integration will be performed in Q1, with expected go-live by 2025-11-05. Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls. Historical systems such as WizShield will be phased out in favour of newer solutions. As part of our strategic initiative for FY2024, CC has been engaged to address recent audit findings.",461161.07,CANCELLED,2023-01-13
REQ67939,Cisco Systems,CS_Falcon + Wiz_Cl0ud + C i s c o   F i r e p o w e r   2 0 0 0   S e r i e s + Zscaler Internet Access ™,"Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls. Technical integration will be performed in Q2, with expected go-live by 2023-03-04. This order is intended to strengthen defences in the Americas region and includes provisions for both endpoint threat detection and ms 365 e5. Historical systems such as Palo Alto Networks FW-5000 will be phased out in favour of newer solutions. As part of our strategic initiative for FY2023, Cisco Systems has been engaged to address recent audit findings.",210020.95,PENDING,2025-11-15
REQ40161,Zscaler Inc,O365 E5 + Cisco_FP-2100 + crowdstrike falcon,"Historical systems such as WizShield will be phased out in favour of newer solutions. Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls. As part of our strategic initiative for FY2025, Zscaler Inc has been engaged to address recent audit findings. This order is intended to strengthen defences in the EMEA region and includes provisions for both microsft 365 e5 and Z $ c a l e r   I A. Technical integration will be performed in Q4, with expected go-live by 2025-12-15.",252629.86,CANCELLED,2023-05-28
REQ61873,Microsoft Corp,WIZ CLOUD + MS 365 E5 ™ + F i r e p o w e r   2 K   s e r i e s,"Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls. Historical systems such as Palo Alto Networks FW-5000 will be phased out in favour of newer solutions. Technical integration will be performed in Q3, with expected go-live by 2025-05-29. This order is intended to strengthen defences in the EMEA region and includes provisions for both wiz cl0ud and T a n i u m   E n d p o i n t. As part of our strategic initiative for FY2023, Microsoft Corp has been engaged to address recent audit findings.",435909.59,CANCELLED,2024-03-29
REQ83989,Cisco Systems,F1rep0wer 2K ser1es + CROWDSTRIK FLACON + Microsft 365 E5 ™,"As part of our strategic initiative for FY2025, Cisco Systems has been engaged to address recent audit findings. This order is intended to strengthen defences in the Americas region and includes provisions for both appliance de seguridad and W1z Cl0ud. Historical systems such as Legacy Firewall will be phased out in favour of newer solutions. Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls. Technical integration will be performed in Q2, with expected go-live by 2024-12-16.",323280.96,CANCELLED,2024-10-09
REQ84928,WWT,CS_Falcon + Microsoft E5 ™,"Historical systems such as Palo Alto Networks FW-5000 will be phased out in favour of newer solutions. Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls. This order is intended to strengthen defences in the APAC region and includes provisions for both CrowdStrike_Falcon and tanium endpoint. Technical integration will be performed in Q3, with expected go-live by 2024-07-16. As part of our strategic initiative for FY2025, WWT has been engaged to address recent audit findings.",327659.54,CANCELLED,2025-09-01
REQ83133,CrowdStrike Inc,WizDefnd + cisco fp2k,"Technical integration will be performed in Q1, with expected go-live by 2025-10-30. This order is intended to strengthen defences in the APAC region and includes provisions for both Wiz Defend ™ and zscaler ia. Historical systems such as Legacy Firewall will be phased out in favour of newer solutions. As part of our strategic initiative for FY2024, Cisco Systems has been engaged to address recent audit findings. Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls.",340797.78,CANCELLED,2024-05-31
REQ38074,Cisco Systems,Tanium ™ + Z$caler IA ™ + Cisco Firepower 2000 Series ™,"Technical integration will be performed in Q3, with expected go-live by 2025-03-13. This order is intended to strengthen defences in the EMEA region and includes provisions for both endpoint management platform and CS FALCON. As part of our strategic initiative for FY2024, Cisco Systems has been engaged to address recent audit findings. Historical systems such as Old Endpoint Protection will be phased out in favour of newer solutions. Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls.",174157.51,ORDERED,2024-01-29
REQ68841,Cisco Systems,C r o w d S t r i k e   E D R + Zscaler_IA,"As part of our strategic initiative for FY2023, Cisco Systems has been engaged to address recent audit findings. Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls. Historical systems such as WizShield will be phased out in favour of newer solutions. Technical integration will be performed in Q1, with expected go-live by 2024-11-20. This order is intended to strengthen defences in the EMEA region and includes provisions for both Cr0wdStr1ke EDR and T@n1um.",120831.46,PENDING,2024-09-25
REQ45755,WWT,Zscaler Internet Access ™ + Cisco_FP2K,"Historical systems such as Palo Alto Networks FW-5000 will be phased out in favour of newer solutions. Technical integration will be performed in Q3, with expected go-live by 2025-02-21. This order is intended to strengthen defences in the APAC region and includes provisions for both cloud firewall subscription and WIZ DEFEND. Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls. As part of our strategic initiative for FY2024, WWT has been engaged to address recent audit findings.",227413.01,PENDING,2025-06-14
REQ28191,Wiz Inc,Microsoft E5 ™ + Wiz_Cl0ud,"Technical integration will be performed in Q1, with expected go-live by 2025-03-22. Historical systems such as Legacy Firewall will be phased out in favour of newer solutions. Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls. As part of our strategic initiative for FY2024, Wiz Inc has been engaged to address recent audit findings. This order is intended to strengthen defences in the APAC region and includes provisions for both M S   3 6 5   E 5 and T@n1um Endp01nt.",380626.37,ORDERED,2025-07-07
REQ10205,Microsoft Corp,WizDefnd ™ + C r o w d S t r i k e   E D R + TANIUMMGMT,"Technical integration will be performed in Q2, with expected go-live by 2025-12-16. Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls. Historical systems such as WizShield will be phased out in favour of newer solutions. This order is intended to strengthen defences in the EMEA region and includes provisions for both W1zDefnd and W i z C l d. As part of our strategic initiative for FY2023, Microsoft Corp has been engaged to address recent audit findings.",309330.74,PENDING,2025-05-03
REQ54374,CrowdStrike Inc,CrowdStrike_Falcon + Wiz Cloud ™,"This order is intended to strengthen defences in the APAC region and includes provisions for both CrowdStrike_EDR and WizDefnd ™. Technical integration will be performed in Q1, with expected go-live by 2025-03-10. Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls. Historical systems such as Legacy Firewall will be phased out in favour of newer solutions. As part of our strategic initiative for FY2025, CrowdStrike Inc has been engaged to address recent audit findings.",407686.89,PENDING,2025-08-09
REQ67272,WWT,T a n i u m   E n d p o i n t + W1z Defnd + WizCld,"Technical integration will be performed in Q4, with expected go-live by 2023-03-17. Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls. This order is intended to strengthen defences in the EMEA region and includes provisions for both T a n i u m and Firepower_2K_series. Historical systems such as Legacy Firewall will be phased out in favour of newer solutions. As part of our strategic initiative for FY2025, WWT has been engaged to address recent audit findings.",445295.83,ORDERED,2025-03-02
REQ15551,Cisco Systems,Cisco_Firepower_2000_Series + Wiz_Cl0ud + o365 e5,"As part of our strategic initiative for FY2024, Cisco Systems has been engaged to address recent audit findings. Additional consideration was given to compliance with GDPR, ISO 27001, and SOC 2 controls. Historical systems such as Palo Alto Networks FW-5000 will be phased out in favour of newer solutions. This order is intended to strengthen defences in the Americas region and includes provisions for both CISCO FP2K and ZSCALER INTERNET ACCESS. Technical integration will be performed in Q3, with expected go-live by 2023-06-19.",364773.13,CANCELLED,2025-06-09
