id,supplier,item,description,cost,status,date
REQ42018,CrowdStrike Inc,Cisco FP2K + Wiz Cl0ud + CS Falcon,"In response to recent threat intelligence reports, IT Security has recommended immediate onboarding of Cisco Firepower 2000 Series. This purchase, processed via CrowdStrike Inc, will complement our existing deployment of Wiz Cloud and ensure coverage for 126 users in APAC. Budget reallocation approved by the CISO on 2025-11-02.",307780.49,DRAFT,2024-09-05
REQ93130,CrowdStrike Inc,Tanium Endpoint + Wiz Defend + Wiz Cloud,"In response to recent threat intelligence reports, IT Security has recommended immediate onboarding of Tanium. This purchase, processed via CrowdStrike Inc, will complement our existing deployment of Cisco FP-2100 and ensure coverage for 1150 users in APAC. Budget reallocation approved by the CISO on 2024-07-11.",318970.8,CANCELLED,2023-04-01
REQ29536,Zscaler Inc,M i c r o s o f t 3 6 5 E5 + Wiz Cl0ud,"Following the results of our latest vulnerability assessment, we are initiating the procurement of Microsoft E5 to replace outdated solutions currently deployed across Americas operations. This request, coordinated via Zscaler Inc, is part of our broader cyber resilience program. Additionally, this order includes partial licensing for Tanium to enhance layered security and comply with internal audit requirements.",78306.42,PENDING,2023-03-27
REQ41029,Zscaler Inc,Cisco FP2K + CrowdStrike Falcon,"Annual renewal and capacity expansion of Cisco FP-2100 for APAC teams is required to maintain defensive posture. This transaction via Zscaler Inc also bundles Wiz Cl0ud licenses, ensuring integrated controls across multiple vectors. Implementation will be handled in Q2 following testing in staging environments.",93783.53,CANCELLED,2025-04-23
REQ50001,Wiz Inc,Zscaler Internet Access + Crowdstrik Flacon,"Annual renewal and capacity expansion of Zscaler IA for EMEA teams is required to maintain defensive posture. This transaction via Wiz Inc also bundles Crowdstrik Flacon licenses, ensuring integrated controls across multiple vectors. Implementation will be handled in Q1 following testing in staging environments.",202240.66,CANCELLED,2023-05-23
REQ44795,Tanium Inc,Z$caler IA + MS 365 E5,"Procurement of Z$caler IA is being prioritised under the FY25 budget allocation for security enhancements. The acquisition, handled through Tanium Inc, addresses critical gaps identified in the last compliance audit. The package will also integrate with O365 E5 to improve overall coverage in Americas.",176115.12,CANCELLED,2025-06-12
REQ97900,CrowdStrike Inc,WizDefnd + Cisco Firepower 2000 Series,"As part of our cloud security strategy, the acquisition of Wiz Defnd is being processed via CrowdStrike Inc. This initiative includes additional modules for M i c r o s o f t 3 6 5 E5, supporting both EMEA and APAC operations. Justification for this procurement is tied to zero-trust architecture adoption and enhanced incident response readiness.",474692.87,CANCELLED,2024-10-04
REQ26683,CrowdStrike Inc,TaniumMgmt + WizCld,"In response to recent threat intelligence reports, IT Security has recommended immediate onboarding of TaniumMgmt. This purchase, processed via CrowdStrike Inc, will complement our existing deployment of Wiz Cl0ud and ensure coverage for 2510 users in Americas. Budget reallocation approved by the CISO on 2024-10-30.",340272.38,PENDING,2024-09-08
REQ72021,Microsoft Corp,Wiz Cloud + Zscaler IA,"Procurement of Wiz Cl0ud is being prioritised under the FY24 budget allocation for security enhancements. The acquisition, handled through Microsoft Corp, addresses critical gaps identified in the last compliance audit. The package will also integrate with WizDefnd to improve overall coverage in APAC.",260148.74,CANCELLED,2023-07-11
REQ69692,Wiz Inc,Zscaler Internet Access + TaniumMgmt + Wiz Defnd,"As part of our cloud security strategy, the acquisition of Zscaler Internet Access is being processed via Wiz Inc. This initiative includes additional modules for CrowdStrike EDR, supporting both EMEA and APAC operations. Justification for this procurement is tied to zero-trust architecture adoption and enhanced incident response readiness.",195069.34,ORDERED,2024-05-14
REQ27477,Microsoft Corp,CS Falcon + Zscaler IA + TaniumMgmt,"Following the results of our latest vulnerability assessment, we are initiating the procurement of CrowdStrike EDR to replace outdated solutions currently deployed across APAC operations. This request, coordinated via Microsoft Corp, is part of our broader cyber resilience program. Additionally, this order includes partial licensing for Tanium to enhance layered security and comply with internal audit requirements.",408428.22,ORDERED,2025-07-02
REQ67654,WWT,CS Falcon + Zscaler Internet Access,"Procurement of CS Falcon is being prioritised under the FY25 budget allocation for security enhancements. The acquisition, handled through WWT, addresses critical gaps identified in the last compliance audit. The package will also integrate with Wiz Defnd to improve overall coverage in APAC.",139498.98,CANCELLED,2023-06-15
REQ64496,Cisco Systems,CrowdStrike EDR + Cisco FP2K,"In response to recent threat intelligence reports, IT Security has recommended immediate onboarding of CrowdStrike EDR. This purchase, processed via Cisco Systems, will complement our existing deployment of WizDefnd and ensure coverage for 1944 users in APAC. Budget reallocation approved by the CISO on 2023-05-12.",452895.05,DRAFT,2025-02-18
REQ13804,Microsoft Corp,Wiz Cl0ud + Cisco FP-2100 + WizDefnd,"Annual renewal and capacity expansion of WizCld for APAC teams is required to maintain defensive posture. This transaction via Microsoft Corp also bundles CS Falcon licenses, ensuring integrated controls across multiple vectors. Implementation will be handled in Q2 following testing in staging environments.",460173.1,DRAFT,2025-03-17
REQ37742,Microsoft Corp,WizDefnd + Firepower 2K series + Zscaler IA,"Annual renewal and capacity expansion of WizDefnd for Americas teams is required to maintain defensive posture. This transaction via Microsoft Corp also bundles O365 E5 licenses, ensuring integrated controls across multiple vectors. Implementation will be handled in Q4 following testing in staging environments.",129874.41,DRAFT,2025-08-21
REQ29973,Microsoft Corp,MS 365 E5 + Cisco Firepower 2000 Series,"Following the results of our latest vulnerability assessment, we are initiating the procurement of M i c r o s o f t 3 6 5 E5 to replace outdated solutions currently deployed across EMEA operations. This request, coordinated via Microsoft Corp, is part of our broader cyber resilience program. Additionally, this order includes partial licensing for Cisco FP-2100 to enhance layered security and comply with internal audit requirements.",284164.94,PENDING,2025-08-10
REQ98781,Tanium Inc,Tanium + Wiz Cl0ud + Crowdstrik Flacon,"In response to recent threat intelligence reports, IT Security has recommended immediate onboarding of TaniumMgmt. This purchase, processed via Tanium Inc, will complement our existing deployment of Wiz Defend and ensure coverage for 3071 users in EMEA. Budget reallocation approved by the CISO on 2023-08-10.",55441.15,CANCELLED,2023-09-05
REQ65057,Microsoft Corp,Zscaler IA + MS 365 E5 + Wiz Cl0ud,"In response to recent threat intelligence reports, IT Security has recommended immediate onboarding of Zscaler Internet Access. This purchase, processed via Microsoft Corp, will complement our existing deployment of Wiz Defnd and ensure coverage for 2894 users in Americas. Budget reallocation approved by the CISO on 2023-05-22.",80730.62,PENDING,2025-12-04
REQ41963,Tanium Inc,TaniumMgmt + WizDefnd + Zscaler IA,"In response to recent threat intelligence reports, IT Security has recommended immediate onboarding of Tanium Endpoint. This purchase, processed via Tanium Inc, will complement our existing deployment of CrowdStrike Falcon and ensure coverage for 4458 users in APAC. Budget reallocation approved by the CISO on 2024-10-22.",19206.5,CANCELLED,2024-01-08
REQ63271,Wiz Inc,Wiz Cl0ud + Tanium Endpoint + CrowdStrike EDR,"Following the results of our latest vulnerability assessment, we are initiating the procurement of Wiz Cloud to replace outdated solutions currently deployed across APAC operations. This request, coordinated via Wiz Inc, is part of our broader cyber resilience program. Additionally, this order includes partial licensing for Tanium to enhance layered security and comply with internal audit requirements.",226846.4,DRAFT,2023-07-10
REQ82140,Wiz Inc,Firepower 2K series + WizCld + WizDefnd,"In response to recent threat intelligence reports, IT Security has recommended immediate onboarding of Cisco FP2K. This purchase, processed via Wiz Inc, will complement our existing deployment of TaniumMgmt and ensure coverage for 3362 users in Americas. Budget reallocation approved by the CISO on 2025-08-27.",119116.33,PENDING,2024-10-08
REQ33519,Cisco Systems,Microsft 365 E5 + CS Falcon + Tanium,"Procurement of O365 E5 is being prioritised under the FY24 budget allocation for security enhancements. The acquisition, handled through Cisco Systems, addresses critical gaps identified in the last compliance audit. The package will also integrate with Firepower 2K series to improve overall coverage in EMEA.",487275.99,CANCELLED,2023-09-16
REQ72616,WWT,Tanium Endpoint + MS 365 E5,"Following the results of our latest vulnerability assessment, we are initiating the procurement of Tanium Endpoint to replace outdated solutions currently deployed across EMEA operations. This request, coordinated via WWT, is part of our broader cyber resilience program. Additionally, this order includes partial licensing for Cisco FP-2100 to enhance layered security and comply with internal audit requirements.",41670.67,DRAFT,2023-11-07
REQ48974,Tanium Inc,CrowdStrike Falcon + Wiz Cl0ud + TaniumMgmt,"Annual renewal and capacity expansion of CrowdStrike EDR for EMEA teams is required to maintain defensive posture. This transaction via Tanium Inc also bundles Tanium Endpoint licenses, ensuring integrated controls across multiple vectors. Implementation will be handled in Q4 following testing in staging environments.",54120.62,PENDING,2024-03-08
REQ48175,CrowdStrike Inc,Firepower 2K series + CS Falcon,"Annual renewal and capacity expansion of Cisco FP2K for EMEA teams is required to maintain defensive posture. This transaction via CrowdStrike Inc also bundles MS 365 E5 licenses, ensuring integrated controls across multiple vectors. Implementation will be handled in Q1 following testing in staging environments.",352978.84,ORDERED,2023-05-26
REQ19359,Wiz Inc,Tanium Endpoint + CS Falcon,"In response to recent threat intelligence reports, IT Security has recommended immediate onboarding of Tanium. This purchase, processed via Wiz Inc, will complement our existing deployment of Zscaler Internet Access and ensure coverage for 2217 users in Americas. Budget reallocation approved by the CISO on 2024-04-05.",222380.96,ORDERED,2024-09-14
REQ42816,CC,Tanium + M i c r o s o f t 3 6 5 E5,"In response to recent threat intelligence reports, IT Security has recommended immediate onboarding of TaniumMgmt. This purchase, processed via CC, will complement our existing deployment of Wiz Cl0ud and ensure coverage for 2280 users in Americas. Budget reallocation approved by the CISO on 2023-03-23.",295625.85,DRAFT,2024-07-05
REQ55607,Microsoft Corp,Wiz Defnd + Cisco Firepower 2000 Series + Zscaler Internet Access,"Following the results of our latest vulnerability assessment, we are initiating the procurement of WizDefnd to replace outdated solutions currently deployed across APAC operations. This request, coordinated via Microsoft Corp, is part of our broader cyber resilience program. Additionally, this order includes partial licensing for Zscaler IA to enhance layered security and comply with internal audit requirements.",168252.81,ORDERED,2024-08-13
REQ10150,CC,Tanium + Wiz Cl0ud + O365 E5,"Annual renewal and capacity expansion of TaniumMgmt for EMEA teams is required to maintain defensive posture. This transaction via CC also bundles Cisco Firepower 2000 Series licenses, ensuring integrated controls across multiple vectors. Implementation will be handled in Q3 following testing in staging environments.",313203.77,ORDERED,2025-06-24
REQ30758,Microsoft Corp,Z$caler IA + WizDefnd + Microsoft E5,"As part of our cloud security strategy, the acquisition of Zscaler Internet Access is being processed via Microsoft Corp. This initiative includes additional modules for Microsoft E5, supporting both EMEA and APAC operations. Justification for this procurement is tied to zero-trust architecture adoption and enhanced incident response readiness.",116226.83,DRAFT,2025-08-03
REQ82255,Cisco Systems,Microsft 365 E5 + Wiz Defnd,"Procurement of MS 365 E5 is being prioritised under the FY25 budget allocation for security enhancements. The acquisition, handled through Cisco Systems, addresses critical gaps identified in the last compliance audit. The package will also integrate with WizDefnd to improve overall coverage in Americas.",256579.24,PENDING,2023-05-23
REQ68529,CC,Cisco FP2K + WizCld + Zscaler IA,"Annual renewal and capacity expansion of Cisco FP-2100 for Americas teams is required to maintain defensive posture. This transaction via CC also bundles TaniumMgmt licenses, ensuring integrated controls across multiple vectors. Implementation will be handled in Q3 following testing in staging environments.",435452.83,PENDING,2025-02-23
REQ14852,CC,CS Falcon + Tanium,"Procurement of CrowdStrike EDR is being prioritised under the FY25 budget allocation for security enhancements. The acquisition, handled through CC, addresses critical gaps identified in the last compliance audit. The package will also integrate with Z$caler IA to improve overall coverage in APAC.",437724.24,ORDERED,2023-07-24
REQ62098,WWT,Wiz Defnd + Cisco FP2K,"In response to recent threat intelligence reports, IT Security has recommended immediate onboarding of Wiz Defnd. This purchase, processed via WWT, will complement our existing deployment of WizCld and ensure coverage for 175 users in Americas. Budget reallocation approved by the CISO on 2023-06-03.",477299.1,ORDERED,2023-03-15
REQ49251,CrowdStrike Inc,WizDefnd + Microsoft E5,"Annual renewal and capacity expansion of Wiz Defend for Americas teams is required to maintain defensive posture. This transaction via CrowdStrike Inc also bundles Microsoft E5 licenses, ensuring integrated controls across multiple vectors. Implementation will be handled in Q1 following testing in staging environments.",150217.05,CANCELLED,2025-06-01
REQ75230,Wiz Inc,CrowdStrike EDR + Firepower 2K series,"As part of our cloud security strategy, the acquisition of Crowdstrik Flacon is being processed via Wiz Inc. This initiative includes additional modules for Tanium Endpoint, supporting both EMEA and APAC operations. Justification for this procurement is tied to zero-trust architecture adoption and enhanced incident response readiness.",232487.4,DRAFT,2025-08-10
REQ36111,Cisco Systems,Cisco FP-2100 + WizDefnd + M i c r o s o f t 3 6 5 E5,"Annual renewal and capacity expansion of Firepower 2K series for APAC teams is required to maintain defensive posture. This transaction via Cisco Systems also bundles Zscaler IA licenses, ensuring integrated controls across multiple vectors. Implementation will be handled in Q3 following testing in staging environments.",182684.78,CANCELLED,2024-08-27
REQ91381,CC,Microsoft E5 + Z$caler IA + Cisco Firepower 2000 Series,"Procurement of Microsft 365 E5 is being prioritised under the FY25 budget allocation for security enhancements. The acquisition, handled through CC, addresses critical gaps identified in the last compliance audit. The package will also integrate with Firepower 2K series to improve overall coverage in EMEA.",157921.78,ORDERED,2023-03-10
REQ79579,Zscaler Inc,WizDefnd + CS Falcon + Firepower 2K series,"As part of our cloud security strategy, the acquisition of WizDefnd is being processed via Zscaler Inc. This initiative includes additional modules for Crowdstrik Flacon, supporting both EMEA and APAC operations. Justification for this procurement is tied to zero-trust architecture adoption and enhanced incident response readiness.",403095.11,ORDERED,2023-06-04
REQ58311,Wiz Inc,CS Falcon + Tanium + Wiz Defnd,"Following the results of our latest vulnerability assessment, we are initiating the procurement of CrowdStrike EDR to replace outdated solutions currently deployed across Americas operations. This request, coordinated via Wiz Inc, is part of our broader cyber resilience program. Additionally, this order includes partial licensing for Wiz Cl0ud to enhance layered security and comply with internal audit requirements.",120741.84,DRAFT,2024-11-02
REQ49893,Wiz Inc,Wiz Defend + M i c r o s o f t 3 6 5 E5 + Zscaler Internet Access,"Following the results of our latest vulnerability assessment, we are initiating the procurement of Wiz Defend to replace outdated solutions currently deployed across Americas operations. This request, coordinated via Wiz Inc, is part of our broader cyber resilience program. Additionally, this order includes partial licensing for Microsft 365 E5 to enhance layered security and comply with internal audit requirements.",197379.69,CANCELLED,2025-05-08
REQ68287,Cisco Systems,Wiz Defend + Firepower 2K series,"Procurement of WizDefnd is being prioritised under the FY24 budget allocation for security enhancements. The acquisition, handled through Cisco Systems, addresses critical gaps identified in the last compliance audit. The package will also integrate with O365 E5 to improve overall coverage in Americas.",274510.6,CANCELLED,2023-05-05
REQ84000,Tanium Inc,Wiz Cl0ud + Microsft 365 E5,"Procurement of Wiz Cloud is being prioritised under the FY23 budget allocation for security enhancements. The acquisition, handled through Tanium Inc, addresses critical gaps identified in the last compliance audit. The package will also integrate with O365 E5 to improve overall coverage in EMEA.",295259.63,PENDING,2024-11-03
REQ11947,Cisco Systems,Zscaler IA + CrowdStrike Falcon + Wiz Defend,"Following the results of our latest vulnerability assessment, we are initiating the procurement of Zscaler Internet Access to replace outdated solutions currently deployed across EMEA operations. This request, coordinated via Cisco Systems, is part of our broader cyber resilience program. Additionally, this order includes partial licensing for CrowdStrike Falcon to enhance layered security and comply with internal audit requirements.",136356.92,PENDING,2025-05-12
REQ96363,CrowdStrike Inc,Wiz Defend + WizCld + MS 365 E5,"As part of our cloud security strategy, the acquisition of Wiz Defend is being processed via CrowdStrike Inc. This initiative includes additional modules for Tanium, supporting both EMEA and APAC operations. Justification for this procurement is tied to zero-trust architecture adoption and enhanced incident response readiness.",216005.44,DRAFT,2025-10-01
REQ86724,WWT,TaniumMgmt + WizCld + WizDefnd,"As part of our cloud security strategy, the acquisition of TaniumMgmt is being processed via WWT. This initiative includes additional modules for CS Falcon, supporting both EMEA and APAC operations. Justification for this procurement is tied to zero-trust architecture adoption and enhanced incident response readiness.",255247.78,ORDERED,2023-07-23
REQ64524,CrowdStrike Inc,Zscaler IA + Firepower 2K series,"Annual renewal and capacity expansion of Zscaler IA for Americas teams is required to maintain defensive posture. This transaction via CrowdStrike Inc also bundles WizCld licenses, ensuring integrated controls across multiple vectors. Implementation will be handled in Q4 following testing in staging environments.",334228.39,CANCELLED,2023-11-09
REQ82924,WWT,TaniumMgmt + Wiz Defnd,"In response to recent threat intelligence reports, IT Security has recommended immediate onboarding of Tanium. This purchase, processed via WWT, will complement our existing deployment of Z$caler IA and ensure coverage for 599 users in EMEA. Budget reallocation approved by the CISO on 2023-07-17.",168174.76,DRAFT,2025-04-21
REQ24184,CC,Cisco Firepower 2000 Series + Tanium Endpoint + Wiz Cl0ud,"Annual renewal and capacity expansion of Cisco FP-2100 for APAC teams is required to maintain defensive posture. This transaction via CC also bundles Crowdstrik Flacon licenses, ensuring integrated controls across multiple vectors. Implementation will be handled in Q1 following testing in staging environments.",116948.75,ORDERED,2023-02-23
REQ84228,Tanium Inc,Wiz Defnd + Microsoft E5 + CrowdStrike Falcon,"Procurement of Wiz Defend is being prioritised under the FY25 budget allocation for security enhancements. The acquisition, handled through Tanium Inc, addresses critical gaps identified in the last compliance audit. The package will also integrate with Cisco Firepower 2000 Series to improve overall coverage in EMEA.",374325.32,PENDING,2025-02-09
REQ16522,WWT,WizCld + Cisco FP2K,"Procurement of Wiz Cl0ud is being prioritised under the FY24 budget allocation for security enhancements. The acquisition, handled through WWT, addresses critical gaps identified in the last compliance audit. The package will also integrate with Microsft 365 E5 to improve overall coverage in EMEA.",245402.54,ORDERED,2025-04-28
REQ79066,Wiz Inc,Cisco FP2K + M i c r o s o f t 3 6 5 E5 + CrowdStrike Falcon,"As part of our cloud security strategy, the acquisition of Cisco FP2K is being processed via Wiz Inc. This initiative includes additional modules for Z$caler IA, supporting both EMEA and APAC operations. Justification for this procurement is tied to zero-trust architecture adoption and enhanced incident response readiness.",8805.11,CANCELLED,2024-03-08
REQ59834,Cisco Systems,Z$caler IA + Wiz Defnd,"Procurement of Zscaler Internet Access is being prioritised under the FY23 budget allocation for security enhancements. The acquisition, handled through Cisco Systems, addresses critical gaps identified in the last compliance audit. The package will also integrate with Tanium Endpoint to improve overall coverage in APAC.",404069.09,DRAFT,2025-03-24
REQ25096,Microsoft Corp,Zscaler Internet Access + M i c r o s o f t 3 6 5 E5 + Cisco FP2K,"Annual renewal and capacity expansion of Zscaler IA for EMEA teams is required to maintain defensive posture. This transaction via Microsoft Corp also bundles WizDefnd licenses, ensuring integrated controls across multiple vectors. Implementation will be handled in Q3 following testing in staging environments.",416852.83,CANCELLED,2023-06-30
REQ32037,CrowdStrike Inc,Wiz Cl0ud + Tanium,"Procurement of WizCld is being prioritised under the FY25 budget allocation for security enhancements. The acquisition, handled through CrowdStrike Inc, addresses critical gaps identified in the last compliance audit. The package will also integrate with Firepower 2K series to improve overall coverage in APAC.",267649.39,PENDING,2024-12-16
REQ92306,Cisco Systems,Cisco FP2K + Wiz Defnd + TaniumMgmt,"Following the results of our latest vulnerability assessment, we are initiating the procurement of Cisco FP-2100 to replace outdated solutions currently deployed across EMEA operations. This request, coordinated via Cisco Systems, is part of our broader cyber resilience program. Additionally, this order includes partial licensing for Tanium to enhance layered security and comply with internal audit requirements.",323280.96,CANCELLED,2024-10-09
REQ50685,WWT,CrowdStrike Falcon + WizDefnd + O365 E5,"In response to recent threat intelligence reports, IT Security has recommended immediate onboarding of CrowdStrike Falcon. This purchase, processed via WWT, will complement our existing deployment of Tanium and ensure coverage for 609 users in APAC. Budget reallocation approved by the CISO on 2024-07-16.",42981.85,DRAFT,2025-11-04
REQ18109,WWT,Wiz Cl0ud + Microsoft E5 + Cisco FP-2100,"As part of our cloud security strategy, the acquisition of Wiz Cloud is being processed via WWT. This initiative includes additional modules for Tanium Endpoint, supporting both EMEA and APAC operations. Justification for this procurement is tied to zero-trust architecture adoption and enhanced incident response readiness.",24375.35,ORDERED,2025-06-18
REQ94843,Cisco Systems,Wiz Defend + M i c r o s o f t 3 6 5 E5 + Cisco FP2K,"Following the results of our latest vulnerability assessment, we are initiating the procurement of Wiz Defnd to replace outdated solutions currently deployed across APAC operations. This request, coordinated via Cisco Systems, is part of our broader cyber resilience program. Additionally, this order includes partial licensing for Z$caler IA to enhance layered security and comply with internal audit requirements.",145652.75,PENDING,2024-11-13
REQ97833,Cisco Systems,MS 365 E5 + Z$caler IA,"In response to recent threat intelligence reports, IT Security has recommended immediate onboarding of Microsft 365 E5. This purchase, processed via Cisco Systems, will complement our existing deployment of Tanium Endpoint and ensure coverage for 2915 users in APAC. Budget reallocation approved by the CISO on 2024-09-26.",184104.91,CANCELLED,2024-09-24
REQ96760,Wiz Inc,CrowdStrike EDR + Tanium + Cisco FP-2100,"Following the results of our latest vulnerability assessment, we are initiating the procurement of CrowdStrike Falcon to replace outdated solutions currently deployed across APAC operations. This request, coordinated via Wiz Inc, is part of our broader cyber resilience program. Additionally, this order includes partial licensing for O365 E5 to enhance layered security and comply with internal audit requirements.",94518.75,PENDING,2025-06-15
REQ35430,CC,MS 365 E5 + Zscaler IA + Tanium Endpoint,"In response to recent threat intelligence reports, IT Security has recommended immediate onboarding of MS 365 E5. This purchase, processed via CC, will complement our existing deployment of Cisco FP-2100 and ensure coverage for 3034 users in Americas. Budget reallocation approved by the CISO on 2025-07-08.",390171.4,ORDERED,2023-11-28
REQ47363,Wiz Inc,Zscaler IA + CrowdStrike EDR,"As part of our cloud security strategy, the acquisition of Zscaler Internet Access is being processed via Wiz Inc. This initiative includes additional modules for Wiz Defend, supporting both EMEA and APAC operations. Justification for this procurement is tied to zero-trust architecture adoption and enhanced incident response readiness.",453126.57,PENDING,2025-06-14
REQ20696,Wiz Inc,O365 E5 + Cisco Firepower 2000 Series + CS Falcon,"Procurement of MS 365 E5 is being prioritised under the FY24 budget allocation for security enhancements. The acquisition, handled through Wiz Inc, addresses critical gaps identified in the last compliance audit. The package will also integrate with Tanium Endpoint to improve overall coverage in APAC.",396733.42,PENDING,2023-03-20
REQ81932,WWT,Cisco FP-2100 + O365 E5 + Wiz Cloud,"Procurement of Cisco FP-2100 is being prioritised under the FY24 budget allocation for security enhancements. The acquisition, handled through WWT, addresses critical gaps identified in the last compliance audit. The package will also integrate with O365 E5 to improve overall coverage in Americas.",28635.98,ORDERED,2025-07-25
REQ56244,CrowdStrike Inc,MS 365 E5 + Tanium,"Following the results of our latest vulnerability assessment, we are initiating the procurement of M i c r o s o f t 3 6 5 E5 to replace outdated solutions currently deployed across Americas operations. This request, coordinated via CrowdStrike Inc, is part of our broader cyber resilience program. Additionally, this order includes partial licensing for WizCld to enhance layered security and comply with internal audit requirements.",333863.79,DRAFT,2025-12-08
REQ12128,CrowdStrike Inc,Cisco FP-2100 + Microsoft E5 + Wiz Cl0ud,"In response to recent threat intelligence reports, IT Security has recommended immediate onboarding of Firepower 2K series. This purchase, processed via CrowdStrike Inc, will complement our existing deployment of Zscaler IA and ensure coverage for 4359 users in Americas. Budget reallocation approved by the CISO on 2023-03-31.",368917.56,CANCELLED,2023-10-01
