id,supplier,item,description,cost,status,date,dataset_source,product_id,product_name,vendor_name,confidence,method
REQ49893,Wiz Inc,Wiz Defend + M i c r o s o f t 3 6 5 E5 + Zscaler Internet Access,"Following the results of our latest vulnerability assessment, we are initiating the procurement of Wiz Defend to replace outdated solutions currently deployed across Americas operations. This request, coordinated via Wiz Inc, is part of our broader cyber resilience program. Additionally, this order includes partial licensing for Microsft 365 E5 to enhance layered security and comply with internal audit requirements.",197379.69,CANCELLED,2025-05-08,easy,5 | 7,Wiz Defend | Zscaler Internet Access,Wiz | Zscaler,100,exact
REQ68287,Cisco Systems,Wiz Defend + Firepower 2K series,"Procurement of WizDefnd is being prioritised under the FY24 budget allocation for security enhancements. The acquisition, handled through Cisco Systems, addresses critical gaps identified in the last compliance audit. The package will also integrate with O365 E5 to improve overall coverage in Americas.",274510.6,CANCELLED,2023-05-05,easy,5,Wiz Defend,Wiz,100,exact
REQ84000,Tanium Inc,Wiz Cl0ud + Microsft 365 E5,"Procurement of Wiz Cloud is being prioritised under the FY23 budget allocation for security enhancements. The acquisition, handled through Tanium Inc, addresses critical gaps identified in the last compliance audit. The package will also integrate with O365 E5 to improve overall coverage in EMEA.",295259.63,PENDING,2024-11-03,easy,4,Wiz Cloud,Wiz,100,exact
REQ11947,Cisco Systems,Zscaler IA + CrowdStrike Falcon + Wiz Defend,"Following the results of our latest vulnerability assessment, we are initiating the procurement of Zscaler Internet Access to replace outdated solutions currently deployed across EMEA operations. This request, coordinated via Cisco Systems, is part of our broader cyber resilience program. Additionally, this order includes partial licensing for CrowdStrike Falcon to enhance layered security and comply with internal audit requirements.",136356.92,PENDING,2025-05-12,easy,5 | 7,Wiz Defend | Zscaler Internet Access,Wiz | Zscaler,100,exact
REQ96363,CrowdStrike Inc,Wiz Defend + WizCld + MS 365 E5,"As part of our cloud security strategy, the acquisition of Wiz Defend is being processed via CrowdStrike Inc. This initiative includes additional modules for Tanium, supporting both EMEA and APAC operations. Justification for this procurement is tied to zero-trust architecture adoption and enhanced incident response readiness.",216005.44,DRAFT,2025-10-01,easy,5,Wiz Defend,Wiz,100,exact
REQ86724,WWT,TaniumMgmt + WizCld + WizDefnd,"As part of our cloud security strategy, the acquisition of TaniumMgmt is being processed via WWT. This initiative includes additional modules for CS Falcon, supporting both EMEA and APAC operations. Justification for this procurement is tied to zero-trust architecture adoption and enhanced incident response readiness.",255247.78,ORDERED,2023-07-23,easy,,,,0,no_match
REQ64524,CrowdStrike Inc,Zscaler IA + Firepower 2K series,"Annual renewal and capacity expansion of Zscaler IA for Americas teams is required to maintain defensive posture. This transaction via CrowdStrike Inc also bundles WizCld licenses, ensuring integrated controls across multiple vectors. Implementation will be handled in Q4 following testing in staging environments.",334228.39,CANCELLED,2023-11-09,easy,,,,0,no_match
REQ82924,WWT,TaniumMgmt + Wiz Defnd,"In response to recent threat intelligence reports, IT Security has recommended immediate onboarding of Tanium. This purchase, processed via WWT, will complement our existing deployment of Z$caler IA and ensure coverage for 599 users in EMEA. Budget reallocation approved by the CISO on 2023-07-17.",168174.76,DRAFT,2025-04-21,easy,5,Wiz Defend,Wiz,90,fuzzy
REQ24184,CC,Cisco Firepower 2000 Series + Tanium Endpoint + Wiz Cl0ud,"Annual renewal and capacity expansion of Cisco FP-2100 for APAC teams is required to maintain defensive posture. This transaction via CC also bundles Crowdstrik Flacon licenses, ensuring integrated controls across multiple vectors. Implementation will be handled in Q1 following testing in staging environments.",116948.75,ORDERED,2023-02-23,easy,3 | 4,Cisco Firepower 2000 Series | Wiz Cloud,Cisco | Wiz,100,exact
REQ84228,Tanium Inc,Wiz Defnd + Microsoft E5 + CrowdStrike Falcon,"Procurement of Wiz Defend is being prioritised under the FY25 budget allocation for security enhancements. The acquisition, handled through Tanium Inc, addresses critical gaps identified in the last compliance audit. The package will also integrate with Cisco Firepower 2000 Series to improve overall coverage in EMEA.",374325.32,PENDING,2025-02-09,easy,3 | 5,Cisco Firepower 2000 Series | Wiz Defend,Cisco | Wiz,100,exact
REQ16522,WWT,WizCld + Cisco FP2K,"Procurement of Wiz Cl0ud is being prioritised under the FY24 budget allocation for security enhancements. The acquisition, handled through WWT, addresses critical gaps identified in the last compliance audit. The package will also integrate with Microsft 365 E5 to improve overall coverage in EMEA.",245402.54,ORDERED,2025-04-28,easy,4,Wiz Cloud,Wiz,100,exact
REQ79066,Wiz Inc,Cisco FP2K + M i c r o s o f t 3 6 5 E5 + CrowdStrike Falcon,"As part of our cloud security strategy, the acquisition of Cisco FP2K is being processed via Wiz Inc. This initiative includes additional modules for Z$caler IA, supporting both EMEA and APAC operations. Justification for this procurement is tied to zero-trust architecture adoption and enhanced incident response readiness.",8805.11,CANCELLED,2024-03-08,easy,,,,0,no_match
REQ59834,Cisco Systems,Z$caler IA + Wiz Defnd,"Procurement of Zscaler Internet Access is being prioritised under the FY23 budget allocation for security enhancements. The acquisition, handled through Cisco Systems, addresses critical gaps identified in the last compliance audit. The package will also integrate with Tanium Endpoint to improve overall coverage in APAC.",404069.09,DRAFT,2025-03-24,easy,7,Zscaler Internet Access,Zscaler,100,exact
REQ25096,Microsoft Corp,Zscaler Internet Access + M i c r o s o f t 3 6 5 E5 + Cisco FP2K,"Annual renewal and capacity expansion of Zscaler IA for EMEA teams is required to maintain defensive posture. This transaction via Microsoft Corp also bundles WizDefnd licenses, ensuring integrated controls across multiple vectors. Implementation will be handled in Q3 following testing in staging environments.",416852.83,CANCELLED,2023-06-30,easy,7,Zscaler Internet Access,Zscaler,100,exact
REQ32037,CrowdStrike Inc,Wiz Cl0ud + Tanium,"Procurement of WizCld is being prioritised under the FY25 budget allocation for security enhancements. The acquisition, handled through CrowdStrike Inc, addresses critical gaps identified in the last compliance audit. The package will also integrate with Firepower 2K series to improve overall coverage in APAC.",267649.39,PENDING,2024-12-16,easy,4,Wiz Cloud,Wiz,100,exact
REQ92306,Cisco Systems,Cisco FP2K + Wiz Defnd + TaniumMgmt,"Following the results of our latest vulnerability assessment, we are initiating the procurement of Cisco FP-2100 to replace outdated solutions currently deployed across EMEA operations. This request, coordinated via Cisco Systems, is part of our broader cyber resilience program. Additionally, this order includes partial licensing for Tanium to enhance layered security and comply with internal audit requirements.",323280.96,CANCELLED,2024-10-09,easy,5,Wiz Defend,Wiz,90,fuzzy
REQ50685,WWT,CrowdStrike Falcon + WizDefnd + O365 E5,"In response to recent threat intelligence reports, IT Security has recommended immediate onboarding of CrowdStrike Falcon. This purchase, processed via WWT, will complement our existing deployment of Tanium and ensure coverage for 609 users in APAC. Budget reallocation approved by the CISO on 2024-07-16.",42981.85,DRAFT,2025-11-04,easy,,,,0,no_match
